"Voter.ID","Permanent.Absentee","Registration.Date","Original.Registration.Date","Party","Precinct","Age","X6.22.2010","X11.2.2010","X9.13.2011","X11.8.2011","X6.26.2012","X11.6.2012","X8.13.2013","X11.5.2013","X6.24.2014","X11.4.2014","X8.11.2015","X11.3.2015","X6.28.2016","X11.8.2016","X8.15.2017","X11.7.2017","X6.26.2018","X11.6.2018","lon","lat","min.c.dist","Voted_X6.22.2010","Voted_X11.2.2010","Voted_X9.13.2011","Voted_X11.8.2011","Voted_X6.26.2012","Voted_X11.6.2012","Voted_X8.13.2013","Voted_X11.5.2013","Voted_X6.24.2014","Voted_X11.4.2014","Voted_X8.11.2015","Voted_X11.3.2015","Voted_X6.28.2016","Voted_X11.8.2016","Voted_X8.15.2017","Voted_X11.7.2017","Voted_X6.26.2018","Voted_X11.6.2018","X11.5.2019","Voted_X11.5.2019"
6383859,"","9/4/2018","6/1/2004","Republican","SR01",41,NA,NA,"9/13/2011","11/8/2011",NA,NA,NA,"11/5/2013",NA,NA,"8/11/2015","11/3/2015",NA,"11/8/2016",NA,"10/31/2017","6/13/2018","10/31/2018",-111.927214,40.3657462,1509.44492993788,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,1,1,"10/23/2019",1
6378709,"","7/8/2016","3/13/2004","Republican","SR01",41,"6/22/2010","11/2/2010","9/13/2011","11/8/2011","6/26/2012",NA,"8/13/2013","11/5/2013",NA,"10/30/2014","8/11/2015","11/3/2015","6/28/2016","10/25/2016",NA,"10/31/2017","6/13/2018","10/31/2018",-111.927214,40.3657462,1509.44492993788,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,"10/23/2019",1
1614083,"","10/29/2018","9/23/2012","Unaffiliated","SR01",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/8/2016",NA,NA,NA,"11/7/2018",-111.9430846,40.371322,377.460901473598,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"11/5/2019",1
6069111,"","5/17/2017","12/28/2005","Republican","SR01",61,NA,"10/29/2010",NA,NA,NA,"10/26/2012",NA,NA,NA,"11/3/2014",NA,NA,NA,"11/2/2016",NA,NA,NA,"10/31/2018",-111.9298689,40.3682954,1158.46379773264,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,NA,0
2060855,"","4/3/2018","4/3/2018","Republican","SR01",56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6/27/2018",NA,-111.9395336,40.373268,171.140684016662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0
5938304,"","2/21/2014","8/26/2004","Republican","SR01",52,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/4/2014",NA,NA,NA,NA,NA,NA,NA,"11/9/2018",-96.9552697,32.8553451,1566357.83094671,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,0
1960980,"","12/13/2018","10/29/2016","Republican","SR01",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/8/2016",NA,NA,NA,"11/6/2018",-111.9386719,40.378623,516.666269846963,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,NA,0
6533638,"","12/5/2018","9/16/2005","Republican","SR01",36,NA,NA,NA,NA,"6/26/2012","11/6/2012",NA,NA,NA,"11/4/2014",NA,"11/3/2015",NA,"11/8/2016","8/16/2017","11/7/2017",NA,"11/6/2018",-111.9374609,40.3764713,383.66907202364,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,NA,0
2013109,"","7/18/2017","5/17/2017","Unaffiliated","SR01",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6/15/2018",NA,-111.9434359,40.3733201,234.961732925406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0
5963599,"","4/23/2018","10/7/2004","Republican","SR01",44,NA,"11/2/2010",NA,NA,NA,"11/6/2012",NA,"11/5/2013",NA,NA,NA,NA,NA,"11/4/2016",NA,NA,NA,"11/9/2018",-111.9434359,40.3733201,234.961732925406,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,NA,0
1495914,"","12/5/2018","1/3/2011","Republican","SR01",41,NA,NA,NA,NA,"6/26/2012","10/24/2012",NA,NA,NA,"11/4/2014",NA,"11/3/2015",NA,"11/8/2016","8/16/2017","11/7/2017",NA,"11/6/2018",-111.9374609,40.3764713,383.66907202364,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,NA,0
3029711,"YES","7/6/2012","6/22/2004","Republican","SR01",76,NA,"11/2/2010",NA,NA,"6/26/2012","11/8/2012",NA,"11/5/2013",NA,"11/5/2014","8/14/2015","11/4/2015","6/17/2016","11/4/2016",NA,"11/6/2017","6/21/2018","11/1/2018",-111.9377691,40.3686283,689.498626480084,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,NA,0
3029769,"","9/23/2016","10/11/1999","Republican","SR01",50,NA,NA,NA,NA,NA,"11/6/2012",NA,NA,NA,NA,NA,NA,NA,"11/8/2016",NA,NA,NA,NA,-111.94033,40.370714,404.943850570685,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,NA,0
3029772,"","7/2/2012","6/27/2006","Republican","SR01",84,NA,"11/2/2010",NA,NA,"6/26/2012","11/6/2012",NA,NA,NA,"11/4/2014",NA,"11/3/2015",NA,"11/8/2016",NA,"11/6/2017","6/21/2018","11/1/2018",-111.9377691,40.3686283,689.498626480084,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,1,1,NA,0
